iter	Passed	Remaining
0	18	36166
1	35	35231
2	50	33762
3	66	33408
4	83	33128
5	98	32672
6	114	32607
7	131	32865
8	148	32781
9	162	32285
10	176	31975
11	191	31719
12	207	31726
13	223	31645
14	239	31652
15	253	31457
16	269	31487
17	285	31476
18	300	31302
19	316	31345
20	334	31540
21	352	31711
22	369	31746
23	385	31777
24	403	31864
25	421	32017
26	436	31884
27	453	31910
28	467	31797
29	485	31853
30	499	31717
31	517	31816
32	532	31754
33	549	31782
34	564	31703
35	580	31695
36	599	31782
37	613	31656
38	630	31679
39	646	31667
40	665	31775
41	679	31660
42	701	31923
43	720	32024
44	735	31944
45	751	31931
46	767	31877
47	783	31872
48	801	31916
49	819	31964
50	833	31867
51	848	31784
52	866	31834
53	885	31896
54	903	31936
55	920	31956
56	938	31989
57	954	31956
58	970	31935
59	988	31945
60	1004	31930
61	1018	31845
62	1034	31818
63	1050	31773
64	1065	31719
65	1084	31788
66	1100	31762
67	1117	31737
68	1135	31785
69	1152	31775
70	1169	31763
71	1185	31751
72	1200	31688
73	1216	31658
74	1231	31610
75	1247	31589
76	1264	31588
77	1281	31576
78	1298	31582
79	1318	31649
80	1335	31639
81	1354	31677
82	1371	31668
83	1389	31692
84	1406	31682
85	1423	31684
86	1440	31673
87	1457	31660
88	1474	31658
89	1491	31650
90	1507	31633
91	1524	31621
92	1542	31629
93	1558	31598
94	1574	31581
95	1590	31554
96	1607	31533
97	1625	31540
98	1641	31529
99	1658	31509
100	1676	31525
101	1694	31521
102	1714	31569
103	1734	31628
104	1752	31625
105	1770	31634
106	1786	31604
107	1802	31581
108	1820	31583
109	1837	31566
110	1855	31570
111	1875	31618
112	1894	31631
113	1911	31617
114	1926	31585
115	1942	31545
116	1959	31529
117	1975	31502
118	1991	31473
119	2007	31453
120	2024	31434
121	2040	31414
122	2056	31383
123	2073	31369
124	2090	31361
125	2107	31343
126	2124	31339
127	2140	31300
128	2156	31279
129	2172	31256
130	2188	31229
131	2206	31221
132	2223	31209
133	2239	31182
134	2255	31163
135	2271	31134
136	2288	31114
137	2304	31088
138	2318	31040
139	2335	31028
140	2351	31005
141	2367	30981
142	2383	30947
143	2399	30926
144	2415	30896
145	2432	30886
146	2449	30871
147	2466	30863
148	2482	30841
149	2497	30807
150	2513	30775
151	2530	30763
152	2547	30754
153	2563	30733
154	2580	30710
155	2595	30675
156	2611	30660
157	2630	30666
158	2649	30676
159	2664	30645
160	2679	30610
161	2695	30587
162	2711	30553
163	2727	30533
164	2743	30512
165	2763	30534
166	2779	30506
167	2795	30486
168	2812	30470
169	2829	30457
170	2844	30425
171	2860	30401
172	2877	30392
173	2892	30357
174	2907	30318
175	2924	30303
176	2941	30295
177	2957	30274
178	2973	30245
179	2988	30216
180	3005	30207
181	3021	30176
182	3037	30157
183	3053	30140
184	3070	30120
185	3087	30110
186	3104	30102
187	3121	30089
188	3138	30077
189	3154	30050
190	3170	30026
191	3191	30050
192	3208	30043
193	3226	30037
194	3244	30031
195	3261	30015
196	3276	29988
197	3292	29960
198	3307	29934
199	3323	29908
200	3339	29891
201	3358	29892
202	3373	29866
203	3390	29851
204	3411	29870
205	3428	29857
206	3445	29840
207	3461	29821
208	3476	29794
209	3492	29767
210	3509	29760
211	3525	29735
212	3541	29712
213	3558	29697
214	3574	29678
215	3591	29660
216	3607	29638
217	3622	29608
218	3639	29599
219	3656	29585
220	3673	29568
221	3691	29564
222	3706	29536
223	3724	29528
224	3744	29536
225	3761	29528
226	3778	29509
227	3800	29538
228	3818	29528
229	3835	29513
230	3851	29493
231	3867	29471
232	3883	29451
233	3900	29435
234	3917	29425
235	3934	29409
236	3952	29404
237	3968	29379
238	3984	29356
239	4001	29341
240	4017	29321
241	4035	29313
242	4050	29285
243	4067	29270
244	4082	29243
245	4099	29227
246	4114	29200
247	4130	29183
248	4147	29166
249	4164	29153
250	4179	29125
251	4195	29102
252	4214	29098
253	4230	29077
254	4247	29067
255	4269	29085
256	4286	29070
257	4303	29060
258	4319	29037
259	4335	29015
260	4354	29013
261	4371	29000
262	4390	28994
263	4407	28984
264	4424	28969
265	4440	28949
266	4459	28945
267	4477	28935
268	4494	28919
269	4510	28901
270	4526	28881
271	4543	28862
272	4559	28844
273	4577	28834
274	4591	28804
275	4607	28783
276	4623	28757
277	4640	28742
278	4656	28726
279	4672	28700
280	4687	28677
281	4704	28663
282	4721	28648
283	4738	28631
284	4755	28618
285	4771	28597
286	4787	28576
287	4803	28555
288	4823	28556
289	4839	28534
290	4855	28513
291	4873	28506
292	4889	28488
293	4908	28480
294	4924	28459
295	4944	28464
296	4960	28443
297	4977	28429
298	4994	28415
299	5011	28397
300	5027	28378
301	5043	28354
302	5059	28339
303	5076	28323
304	5093	28305
305	5109	28287
306	5126	28269
307	5142	28249
308	5159	28234
309	5175	28216
310	5192	28199
311	5208	28181
312	5224	28159
313	5241	28141
314	5256	28120
315	5274	28107
316	5291	28095
317	5309	28085
318	5326	28068
319	5341	28042
320	5358	28025
321	5374	28008
322	5393	28001
323	5408	27979
324	5425	27961
325	5442	27946
326	5460	27935
327	5477	27920
328	5492	27895
329	5506	27868
330	5523	27850
331	5538	27828
332	5556	27814
333	5571	27790
334	5587	27770
335	5603	27751
336	5619	27730
337	5635	27711
338	5651	27688
339	5666	27663
340	5681	27640
341	5696	27618
342	5714	27607
343	5731	27592
344	5747	27572
345	5764	27558
346	5781	27542
347	5800	27533
348	5817	27519
349	5833	27499
350	5849	27481
351	5867	27472
352	5884	27453
353	5899	27429
354	5914	27407
355	5931	27393
356	5950	27384
357	5966	27366
358	5984	27356
359	6000	27334
360	6017	27319
