iter	Passed	Remaining
0	19	39932
1	37	37423
2	55	36767
3	73	36640
4	90	35953
5	108	35933
6	124	35563
7	142	35429
8	161	35766
9	177	35376
10	192	34765
11	206	34281
12	223	34140
13	240	34053
14	258	34201
15	274	34015
16	295	34500
17	312	34449
18	328	34267
19	348	34489
20	365	34425
21	384	34611
22	403	34676
23	421	34699
24	440	34788
25	459	34909
26	475	34746
27	493	34764
28	509	34627
29	526	34593
30	542	34472
31	561	34519
32	576	34373
33	596	34474
34	612	34391
35	629	34348
36	648	34421
37	663	34282
38	681	34262
39	699	34264
40	718	34310
41	733	34192
42	752	34242
43	770	34248
44	785	34146
45	804	34166
46	819	34056
47	837	34073
48	856	34087
49	875	34152
50	891	34082
51	907	34008
52	925	34006
53	947	34162
54	968	34235
55	985	34207
56	1002	34180
57	1019	34129
58	1036	34089
59	1054	34085
60	1071	34064
61	1086	33961
62	1103	33917
63	1121	33935
64	1137	33862
65	1155	33855
66	1172	33816
67	1189	33781
68	1207	33803
69	1226	33805
70	1243	33782
71	1262	33809
72	1277	33725
73	1294	33679
74	1310	33624
75	1329	33657
76	1348	33674
77	1365	33650
78	1382	33625
79	1398	33556
80	1414	33511
81	1431	33484
82	1449	33486
83	1468	33489
84	1485	33457
85	1501	33417
86	1517	33376
87	1534	33342
88	1551	33305
89	1567	33273
90	1584	33238
91	1603	33250
92	1622	33273
93	1641	33275
94	1658	33264
95	1676	33247
96	1693	33233
97	1711	33224
98	1728	33190
99	1745	33164
100	1762	33131
101	1778	33102
102	1796	33092
103	1814	33075
104	1831	33046
105	1855	33148
106	1871	33116
107	1888	33080
108	1906	33070
109	1923	33048
110	1941	33044
111	1961	33062
112	1979	33051
113	1995	33020
114	2012	32983
115	2029	32964
116	2047	32945
117	2064	32920
118	2081	32907
119	2099	32885
120	2117	32882
121	2135	32876
122	2151	32838
123	2169	32819
124	2186	32804
125	2204	32785
126	2222	32779
127	2238	32739
128	2255	32716
129	2272	32694
130	2288	32652
131	2306	32646
132	2325	32650
133	2342	32622
134	2360	32613
135	2377	32586
136	2397	32596
137	2414	32577
138	2430	32537
139	2448	32523
140	2466	32517
141	2484	32504
142	2500	32471
143	2517	32454
144	2535	32432
145	2551	32406
146	2568	32382
147	2587	32378
148	2604	32359
149	2621	32328
150	2638	32303
151	2655	32280
152	2673	32276
153	2693	32283
154	2711	32273
155	2727	32236
156	2745	32229
157	2764	32230
158	2782	32216
159	2798	32186
160	2815	32160
161	2833	32150
162	2852	32143
163	2869	32123
164	2886	32101
165	2904	32084
166	2921	32069
167	2938	32044
168	2956	32029
169	2976	32037
170	2992	32011
171	3009	31987
172	3026	31962
173	3042	31933
174	3057	31888
175	3075	31873
176	3092	31855
177	3110	31837
178	3127	31815
179	3144	31792
180	3162	31781
181	3179	31760
182	3197	31744
183	3214	31723
184	3231	31701
185	3249	31690
186	3267	31675
187	3286	31673
188	3304	31662
189	3320	31631
190	3337	31612
191	3355	31597
192	3374	31590
193	3390	31565
194	3407	31537
195	3425	31530
196	3442	31503
197	3458	31478
198	3475	31449
199	3492	31436
200	3511	31424
201	3527	31398
202	3544	31375
203	3562	31363
204	3580	31350
205	3597	31326
206	3614	31306
207	3630	31280
208	3647	31254
209	3663	31229
210	3680	31209
211	3697	31186
212	3714	31166
213	3732	31153
214	3750	31136
215	3767	31119
216	3784	31094
217	3800	31067
218	3818	31057
219	3837	31047
220	3855	31037
221	3874	31029
222	3890	31000
