iter	MultiClass
0	0.9468975601
1	0.8322642489
2	0.741957307
3	0.6675827412
4	0.6060588387
5	0.5544740145
6	0.5098398231
7	0.471507182
8	0.4384125661
9	0.4091871073
10	0.3834626751
11	0.3604228674
12	0.3403221482
13	0.3226260484
14	0.3064465156
15	0.2918403152
16	0.2792406313
17	0.2673717107
18	0.2567597849
19	0.2473434538
20	0.2386780144
21	0.2309333236
22	0.2241612079
23	0.2174006618
24	0.2120425595
25	0.2062295887
26	0.2016045839
27	0.1973240628
28	0.1928160736
29	0.1887828446
30	0.1854967354
31	0.1821513741
32	0.1793538951
33	0.1762924293
34	0.1739475861
35	0.1714927301
36	0.1694090829
37	0.1672429091
38	0.1653294908
39	0.1635445224
40	0.1618148648
41	0.1603568733
42	0.1590891377
43	0.157262999
44	0.1558745266
45	0.1549307403
46	0.1537311369
47	0.1528630266
48	0.1517599551
49	0.1502785368
50	0.1492471495
51	0.1483981867
52	0.1477823583
53	0.1470551978
54	0.1459928398
55	0.1449541454
56	0.1439589216
57	0.143311835
58	0.1428853154
59	0.1422621123
60	0.1417680102
61	0.1412103259
62	0.1404205305
63	0.1398740691
64	0.1393928052
65	0.1388210057
66	0.1382400131
67	0.1377578105
68	0.1371357491
69	0.1363693297
70	0.1360169892
71	0.135568379
72	0.1353008824
73	0.1346885047
74	0.1343810303
75	0.1339134926
76	0.1333326269
77	0.1329131183
78	0.1324246657
79	0.1321472825
80	0.1318655607
81	0.1314363178
82	0.1310897029
83	0.1306687651
84	0.1303342949
85	0.1301117151
86	0.1297699378
87	0.1293498965
88	0.1289917205
89	0.1286372318
90	0.1284177474
91	0.127978305
92	0.1277278753
93	0.1274128569
94	0.1272270496
95	0.1268635624
96	0.1265954061
97	0.1262921011
98	0.1261281475
99	0.1258680172
100	0.1256200824
101	0.1253484755
102	0.1250902904
103	0.1249018697
104	0.1246660204
105	0.1244256971
106	0.1241617695
107	0.1239723762
108	0.1237519784
109	0.1235294325
110	0.1232534447
111	0.1231218234
112	0.1229601363
113	0.1227458447
114	0.1225909911
115	0.1223379565
116	0.1220943772
117	0.121855627
118	0.1216850598
119	0.1214774241
120	0.1212654159
121	0.1210291184
122	0.1209010407
123	0.1206948343
124	0.1205480744
125	0.1203970012
126	0.120220573
127	0.1201199309
128	0.1200043701
129	0.1199078128
130	0.1197171594
131	0.1194161211
132	0.1191642197
133	0.1189948957
134	0.1189116757
135	0.1187641969
136	0.1186562223
137	0.1185135642
138	0.1183429462
139	0.1180901314
140	0.1179365126
141	0.1177190242
142	0.1175223661
143	0.1174080738
144	0.1173321271
145	0.1171673277
146	0.1170280948
147	0.1168832547
148	0.1167931758
149	0.1166521922
150	0.1165358956
151	0.1164287667
152	0.1163340363
153	0.1161925199
154	0.1160406264
155	0.1158918706
156	0.1157173707
157	0.1156612394
158	0.1155500425
159	0.1153773102
160	0.1152243849
161	0.1150844162
162	0.1149164623
163	0.1148204379
164	0.1147430026
165	0.1146318819
166	0.1146005729
167	0.1145134963
168	0.1143541773
169	0.1142104366
170	0.1141469306
171	0.1140593635
172	0.1139525475
173	0.1138296542
174	0.1137521175
175	0.1136506719
176	0.1135594258
177	0.1134572529
178	0.113304353
179	0.1131456598
180	0.1129608843
181	0.1128825695
182	0.1127847267
183	0.1126911211
184	0.1126298055
185	0.1124577751
186	0.1123550187
187	0.1122953607
188	0.1121777532
189	0.112122806
190	0.1119701006
191	0.1118911008
192	0.111805648
193	0.1117273839
194	0.1116630406
195	0.1115813006
196	0.1114840329
197	0.1114386679
198	0.1113513037
199	0.1112968217
200	0.1112247315
201	0.1110675099
202	0.1110232273
203	0.1109181874
204	0.1108492433
205	0.110751113
206	0.1106824142
207	0.1106323807
208	0.1105503277
209	0.1104173448
210	0.1103392584
211	0.1102909924
212	0.1102234269
213	0.110106775
214	0.1100670003
215	0.1100205865
216	0.1099420433
217	0.1098663503
218	0.1097569295
219	0.1096727199
220	0.1095785307
221	0.1094434588
222	0.1093950153
223	0.1093092581
224	0.109260121
225	0.1092247102
226	0.1090856803
227	0.1089797777
228	0.1089096581
229	0.1088587788
230	0.1088188095
231	0.1087749837
232	0.1087054814
233	0.1086597019
234	0.1085895485
235	0.1085398955
236	0.1084632891
237	0.1083818028
238	0.108333613
239	0.1082848058
240	0.1081834532
241	0.1081271021
242	0.1080877925
243	0.10806034
244	0.107982059
245	0.1079050044
246	0.1078533809
247	0.1077975795
248	0.1077168459
249	0.1076686645
250	0.1076251093
251	0.1075474711
252	0.1075196888
253	0.1074759814
254	0.1074205521
255	0.1073690385
256	0.107296923
257	0.1072505853
258	0.1071661897
259	0.1071311003
260	0.1070592046
261	0.1070227197
262	0.1069596619
263	0.1068889925
264	0.106824294
265	0.1067736516
266	0.1067216813
267	0.1066656938
268	0.1066171488
269	0.1065394176
270	0.1064853076
271	0.1064475288
272	0.1064165581
273	0.1063879385
274	0.1062887341
275	0.106248139
276	0.1061657731
277	0.106119131
278	0.1060888538
279	0.106061063
280	0.105973868
281	0.1059143369
282	0.1058508478
283	0.1058025988
284	0.1057460954
285	0.105706549
286	0.1056622157
287	0.1056257647
288	0.1055539874
289	0.1055079203
290	0.1054709111
291	0.1054112109
292	0.1053803924
293	0.1053369133
294	0.1052740839
295	0.1051817045
296	0.1051479514
297	0.1050630145
298	0.1049884801
299	0.104941339
300	0.1048903414
301	0.1048641237
302	0.1048324341
303	0.1047705688
304	0.1047155708
305	0.1046754662
306	0.1045954599
307	0.1045691915
308	0.1045427877
309	0.104527277
310	0.1044781061
311	0.104428191
312	0.104374487
313	0.1043246311
314	0.1042978299
315	0.1042640344
316	0.1042211473
317	0.1042012472
318	0.104173059
319	0.104136388
320	0.1041115573
321	0.1040647292
322	0.1040279906
323	0.1040029061
324	0.1038890875
325	0.1038528479
326	0.1038242029
327	0.103799626
328	0.103713209
329	0.1036823821
330	0.1036442142
331	0.1035605121
332	0.1035262515
333	0.1034841002
334	0.1034418051
335	0.1033464235
336	0.1032733268
337	0.1032374424
338	0.1031736404
339	0.1031565735
340	0.1030810919
341	0.1030320564
342	0.1029954277
343	0.1029473901
344	0.1028941766
345	0.1028733293
346	0.1028257315
347	0.1027696257
348	0.1026995483
349	0.1026758763
350	0.1026245572
351	0.1025492786
352	0.1025235768
353	0.1024773068
354	0.1024440526
355	0.1024132088
356	0.1023702033
357	0.102337558
358	0.102303475
359	0.1022782299
360	0.1022299217
361	0.1021924219
362	0.1021502876
363	0.1021017594
364	0.1020542547
365	0.1020211104
366	0.1019560144
367	0.1019352517
368	0.1019212464
369	0.1018924576
370	0.1018483189
371	0.1018240379
372	0.1018092207
373	0.1017839248
374	0.1017698096
375	0.1017491991
376	0.1017324959
377	0.1016918923
378	0.1016573018
379	0.1015960877
380	0.1015700645
381	0.1015220692
382	0.1014816094
383	0.1014647117
384	0.1014398133
385	0.1014005122
386	0.1013601031
387	0.1013217238
388	0.101230909
389	0.1011985513
390	0.1011378024
391	0.101092801
392	0.1010770957
393	0.1010475543
394	0.1010143086
395	0.1009769018
396	0.1009307756
397	0.1008964304
398	0.1008673626
399	0.1008130835
400	0.1007859524
401	0.1007545419
402	0.1007423803
403	0.1006771067
404	0.1006416959
405	0.1005930325
406	0.1005573426
407	0.1005385758
408	0.1005131023
409	0.100494733
410	0.1004683123
411	0.1004509748
412	0.1004228289
413	0.1003994613
414	0.1003721188
415	0.1003467975
416	0.1002816846
417	0.1002531412
418	0.1002279976
419	0.1001937031
420	0.1001619797
421	0.1001061698
422	0.1000660483
423	0.1000138497
424	0.09999097265
425	0.09994382309
426	0.09991826506
427	0.0998722234
428	0.09984181087
429	0.09979932129
430	0.09977895606
431	0.0997556646
432	0.09971153429
433	0.09965914118
434	0.09961841918
435	0.09957676687
436	0.09955661307
437	0.09950157283
438	0.09947621777
439	0.09943710266
440	0.0994100054
441	0.09937034057
442	0.09934449499
443	0.09932563516
444	0.0993005592
445	0.09927975419
446	0.09924850439
447	0.09921625662
448	0.09919405615
449	0.09916952992
450	0.09914685584
451	0.0991058632
452	0.09905910267
453	0.09903700369
454	0.09899446336
455	0.09896622437
456	0.09894179116
457	0.09891378052
458	0.09888373165
459	0.09885906164
460	0.09883482296
461	0.09881583627
462	0.09879030362
463	0.09876133729
464	0.09869987794
465	0.09866412038
466	0.09862148702
467	0.09859617426
468	0.0985574059
469	0.09852792367
470	0.09849510081
471	0.09846063722
472	0.09842267231
473	0.09839531287
474	0.09837846589
475	0.09834923738
476	0.09833046213
477	0.09830107294
478	0.09825273089
479	0.09822695297
480	0.09820761108
481	0.09817917756
482	0.09816123958
483	0.09812860278
484	0.09811636503
485	0.09810021155
486	0.09807260685
487	0.09805233465
488	0.09803427827
489	0.09801095298
490	0.09798437161
491	0.0979237157
492	0.09790017898
493	0.09785368908
494	0.09782486653
495	0.09780829018
496	0.09778754437
497	0.09775226042
498	0.09773309613
499	0.09771930224
500	0.09770801172
501	0.09765834187
502	0.09763078791
503	0.09761234249
504	0.09755286215
505	0.09752839512
506	0.09751193717
507	0.09748083114
508	0.09744872715
509	0.09743199011
510	0.09741695299
511	0.09739558134
512	0.09737743193
513	0.09736014516
514	0.0973512988
515	0.09732700938
516	0.09730738839
517	0.09729394125
518	0.09726482269
519	0.09723463005
520	0.09721903475
521	0.09719149771
522	0.09716140656
523	0.0971436631
524	0.09711184666
525	0.09709719012
526	0.09706168628
527	0.09704179466
528	0.09702697744
529	0.09701348801
530	0.09700442176
531	0.0969862216
532	0.09696095113
533	0.09692560798
534	0.0968910429
535	0.09683568973
536	0.09680355191
537	0.09678966499
538	0.09677014549
539	0.09675330696
540	0.09673496303
541	0.0967163823
542	0.09670005967
543	0.09667373203
544	0.09666282208
545	0.09663706954
546	0.09661208661
547	0.09658181785
548	0.09655593845
549	0.09653032122
550	0.09649398857
551	0.09647986484
552	0.09644132483
553	0.09639912279
554	0.096381743
555	0.09636536117
556	0.09635241301
557	0.09632528192
558	0.09630802052
559	0.09629160486
560	0.09627800549
561	0.09626960737
562	0.09623796853
563	0.09620064637
564	0.0961800105
565	0.09615036759
566	0.09613432405
567	0.09609596164
568	0.09606642022
569	0.09605480832
570	0.09601426392
571	0.09595825953
572	0.09594399203
573	0.09592220597
574	0.09590530824
575	0.0958824481
576	0.09585775272
577	0.09582592782
578	0.09581040018
579	0.09575277199
580	0.09571331013
581	0.09570006596
582	0.0956581261
583	0.0956074752
584	0.09557405187
585	0.09555602932
586	0.09550527693
587	0.09548884435
588	0.0954470821
589	0.09541392094
590	0.09539086628
591	0.09536283872
592	0.09534534052
593	0.09530795916
594	0.09528506519
595	0.09526771922
596	0.09523035478
597	0.0951990796
598	0.09518177592
599	0.09515611641
600	0.09514271155
601	0.0951224901
602	0.09510061946
603	0.09507908712
604	0.09504927506
605	0.09502514632
606	0.09497477452
607	0.09494716136
608	0.09491905768
609	0.09488401054
610	0.094859645
611	0.09483923748
612	0.09482307554
613	0.0947950226
614	0.09477927507
615	0.09476125252
616	0.09474608854
617	0.09472076732
618	0.09468085722
619	0.09467395604
620	0.09465825925
621	0.09463060381
622	0.09460842026
623	0.09457695902
624	0.09452848165
625	0.09450007351
626	0.09447985206
627	0.09446105989
628	0.09443810672
629	0.09442396607
630	0.09439929607
631	0.09437275699
632	0.09434839145
633	0.09432862669
634	0.09431561087
635	0.09428998518
636	0.09427968417
637	0.09425724689
638	0.0942473772
639	0.09422351064
640	0.09420639302
641	0.09418361745
642	0.09416650829
643	0.09413255214
644	0.09407493241
645	0.0940591003
646	0.09403168167
647	0.09401644157
648	0.09400106616
649	0.09395431409
650	0.09393856656
