iter	Passed	Remaining
0	6	11162
1	13	11147
2	20	11085
3	28	11381
4	35	11269
5	42	11162
6	48	10958
7	54	10840
8	60	10766
9	67	10783
10	74	10810
11	80	10707
12	88	10790
13	94	10737
14	101	10682
15	107	10625
16	113	10546
17	119	10506
18	125	10470
19	131	10389
20	138	10406
21	145	10404
22	151	10409
23	158	10427
24	164	10370
25	170	10349
26	177	10326
27	183	10324
28	190	10340
29	197	10335
30	203	10314
31	210	10295
32	216	10296
33	223	10285
34	229	10278
35	236	10263
36	242	10248
37	248	10214
38	254	10196
39	261	10190
40	267	10165
41	274	10166
42	280	10153
43	287	10153
44	294	10173
45	301	10171
46	308	10178
47	314	10156
48	320	10136
49	326	10122
50	333	10123
51	340	10142
52	346	10126
53	352	10103
54	359	10102
55	365	10090
56	372	10074
57	378	10065
58	386	10086
59	392	10073
60	398	10050
61	404	10028
62	411	10035
63	417	10017
64	424	10017
65	431	10033
66	437	10015
67	443	10000
68	450	9986
69	457	9990
70	462	9965
71	469	9963
72	477	9989
73	484	9989
74	490	9973
75	496	9961
76	502	9948
77	509	9943
78	516	9947
79	523	9937
80	529	9932
81	536	9923
82	541	9904
83	548	9906
84	554	9891
85	561	9888
86	567	9874
87	574	9873
88	582	9883
89	590	9908
90	596	9891
91	602	9879
92	609	9881
93	618	9910
94	626	9924
95	633	9918
96	639	9908
97	645	9893
98	651	9879
99	657	9866
100	664	9856
101	670	9848
102	676	9838
103	683	9834
104	690	9828
105	696	9815
106	703	9810
107	709	9796
108	715	9784
109	721	9772
110	727	9755
111	733	9742
112	739	9727
113	745	9716
114	751	9709
115	758	9700
116	764	9684
117	770	9680
118	777	9674
119	783	9663
120	790	9660
121	796	9650
122	803	9651
123	809	9638
124	815	9625
125	822	9618
126	828	9604
127	835	9603
128	841	9601
129	848	9594
130	855	9591
131	862	9592
132	869	9591
133	875	9580
134	882	9579
135	890	9586
136	896	9573
137	902	9560
138	909	9554
139	916	9557
140	922	9545
141	929	9544
142	935	9533
143	941	9524
144	947	9510
145	954	9502
146	961	9505
147	969	9511
148	976	9504
149	982	9497
150	989	9492
151	995	9482
152	1002	9479
153	1009	9474
154	1017	9485
155	1024	9479
156	1030	9472
157	1036	9460
158	1042	9447
159	1048	9436
160	1055	9434
161	1062	9429
162	1068	9423
163	1074	9410
164	1080	9399
165	1087	9396
166	1094	9387
167	1100	9379
168	1108	9385
169	1115	9379
170	1121	9370
171	1127	9358
172	1134	9361
173	1144	9376
174	1152	9386
175	1159	9380
176	1165	9369
177	1172	9366
178	1179	9359
179	1185	9349
180	1191	9341
181	1198	9334
182	1203	9322
183	1210	9319
184	1216	9307
185	1223	9297
186	1229	9288
187	1235	9277
188	1242	9273
189	1248	9262
190	1254	9253
191	1260	9245
192	1267	9239
193	1273	9232
194	1280	9229
195	1287	9220
196	1293	9213
197	1300	9208
198	1307	9202
199	1313	9197
200	1319	9186
201	1326	9177
202	1332	9169
203	1338	9159
204	1345	9154
205	1352	9155
206	1359	9146
207	1365	9135
208	1372	9132
209	1378	9123
210	1385	9121
211	1394	9127
212	1399	9115
213	1406	9106
214	1412	9099
215	1418	9091
216	1424	9081
217	1431	9073
218	1437	9065
219	1444	9059
220	1451	9054
221	1457	9047
222	1463	9037
223	1469	9026
224	1475	9018
225	1482	9012
226	1489	9008
227	1496	9002
228	1502	8995
229	1508	8986
230	1514	8976
231	1520	8967
232	1527	8961
233	1533	8953
234	1539	8944
235	1546	8935
236	1551	8925
237	1558	8918
238	1564	8909
239	1570	8901
240	1577	8893
241	1582	8882
242	1589	8875
243	1595	8868
244	1602	8860
245	1608	8852
246	1614	8846
247	1621	8839
248	1627	8830
249	1633	8822
250	1639	8813
251	1646	8807
252	1652	8799
253	1659	8792
254	1665	8783
255	1671	8776
256	1678	8771
257	1684	8763
258	1691	8756
259	1698	8751
260	1704	8743
261	1710	8735
262	1716	8727
263	1723	8721
264	1731	8725
265	1740	8728
266	1748	8731
267	1755	8724
268	1761	8714
269	1767	8706
270	1773	8698
271	1779	8690
272	1785	8681
273	1792	8674
274	1799	8670
275	1808	8674
276	1816	8676
277	1822	8668
278	1828	8658
279	1834	8650
280	1841	8644
281	1848	8639
282	1856	8637
283	1862	8631
284	1870	8629
285	1879	8636
286	1887	8635
287	1894	8630
288	1901	8625
289	1908	8619
290	1914	8611
291	1921	8605
292	1927	8599
293	1934	8593
294	1940	8585
295	1947	8579
296	1953	8568
297	1959	8561
298	1965	8553
299	1972	8548
300	1979	8540
301	1985	8532
302	1991	8526
303	1998	8520
304	2005	8513
305	2011	8504
306	2017	8497
307	2023	8489
308	2029	8480
309	2035	8470
310	2042	8464
311	2048	8455
312	2054	8448
313	2061	8441
314	2067	8432
315	2073	8425
316	2079	8416
317	2085	8407
318	2091	8400
319	2098	8392
320	2105	8390
321	2114	8390
322	2120	8382
323	2126	8373
324	2132	8365
325	2138	8357
326	2144	8350
327	2151	8343
328	2157	8336
329	2163	8326
330	2170	8320
331	2177	8314
332	2183	8306
333	2189	8298
334	2195	8290
335	2202	8284
336	2208	8275
337	2214	8269
338	2221	8262
339	2227	8255
340	2233	8247
341	2240	8241
342	2246	8232
343	2253	8226
344	2259	8220
345	2266	8215
346	2273	8210
347	2281	8207
348	2288	8202
349	2295	8197
350	2301	8190
351	2308	8184
352	2314	8177
353	2321	8172
354	2329	8168
355	2337	8167
356	2343	8160
357	2349	8151
358	2356	8145
359	2362	8137
360	2368	8129
361	2374	8121
362	2381	8114
363	2387	8108
364	2395	8104
365	2401	8097
366	2408	8091
367	2414	8084
368	2420	8076
369	2427	8068
370	2434	8064
371	2440	8057
372	2448	8053
373	2454	8046
374	2461	8041
375	2467	8033
376	2473	8025
377	2479	8016
378	2485	8007
379	2491	7999
380	2497	7989
381	2504	7984
382	2513	7985
383	2520	7982
384	2527	7976
385	2534	7970
386	2541	7964
387	2547	7958
388	2554	7951
389	2560	7942
390	2566	7936
391	2573	7931
392	2579	7922
393	2585	7914
394	2591	7905
395	2597	7897
396	2603	7888
397	2609	7880
398	2616	7877
399	2624	7872
400	2630	7864
401	2636	7856
402	2642	7849
403	2648	7840
404	2654	7833
405	2661	7827
406	2667	7820
407	2674	7812
408	2680	7805
409	2686	7796
410	2691	7787
411	2697	7779
412	2704	7773
413	2710	7766
414	2717	7759
415	2724	7753
416	2730	7746
417	2737	7741
418	2745	7738
419	2751	7731
420	2758	7723
421	2764	7717
422	2770	7710
423	2776	7701
424	2782	7693
425	2789	7686
426	2795	7680
427	2801	7672
428	2807	7664
429	2814	7657
430	2820	7650
431	2826	7642
432	2834	7639
433	2840	7631
434	2846	7624
435	2853	7617
436	2859	7609
437	2866	7603
438	2872	7596
439	2879	7590
440	2885	7583
441	2891	7576
442	2897	7567
443	2903	7559
444	2909	7551
445	2915	7544
446	2922	7538
447	2929	7533
448	2936	7526
449	2942	7518
450	2948	7512
451	2955	7506
452	2961	7499
453	2968	7492
454	2974	7484
455	2980	7477
456	2987	7471
