iter	Passed	Remaining
0	20	41936
1	43	42958
2	62	41797
3	83	41555
4	101	40658
5	121	40451
6	141	40327
7	162	40371
8	183	40636
9	200	39821
10	217	39411
11	237	39381
12	257	39432
13	278	39506
14	297	39407
15	318	39456
16	337	39358
17	360	39670
18	384	40066
19	403	39959
20	426	40166
21	449	40454
22	469	40332
23	488	40257
24	508	40136
25	528	40120
26	547	39993
27	568	40003
28	587	39956
29	610	40059
30	627	39868
31	650	39994
32	668	39828
33	690	39907
34	708	39790
35	730	39864
36	754	40042
37	771	39854
38	793	39902
39	812	39829
40	834	39886
41	852	39732
42	873	39764
43	893	39722
44	911	39582
45	931	39581
46	949	39448
47	970	39463
48	993	39568
49	1015	39616
50	1035	39590
51	1054	39519
52	1076	39543
53	1099	39609
54	1119	39572
55	1141	39610
56	1161	39604
57	1182	39599
58	1201	39511
59	1224	39597
60	1246	39614
61	1263	39497
62	1283	39465
63	1303	39444
64	1323	39404
65	1344	39394
66	1366	39411
67	1385	39378
68	1409	39436
69	1430	39450
70	1451	39423
71	1475	39510
72	1493	39416
73	1515	39439
74	1536	39447
75	1557	39424
76	1580	39466
77	1599	39410
78	1621	39439
79	1642	39411
80	1661	39354
81	1683	39365
82	1703	39341
83	1726	39372
84	1745	39335
85	1767	39334
86	1786	39280
87	1806	39241
88	1823	39164
89	1844	39147
90	1862	39069
91	1883	39064
92	1901	38993
93	1920	38948
94	1939	38882
95	1958	38840
96	1978	38824
97	2000	38818
98	2018	38768
99	2037	38709
100	2057	38684
101	2077	38649
102	2098	38648
103	2119	38634
104	2137	38583
105	2159	38594
106	2177	38526
107	2196	38478
108	2218	38480
109	2240	38489
110	2260	38477
111	2282	38479
112	2302	38449
113	2321	38406
114	2339	38342
115	2358	38312
116	2378	38275
117	2396	38214
118	2416	38189
119	2435	38149
120	2454	38120
121	2475	38103
122	2495	38081
123	2514	38045
124	2535	38034
125	2554	37989
126	2579	38039
127	2598	38000
128	2617	37964
129	2634	37903
130	2653	37856
131	2673	37830
132	2697	37871
133	2717	37841
134	2736	37801
135	2757	37797
136	2777	37764
137	2798	37753
138	2816	37713
139	2839	37728
140	2859	37700
141	2880	37691
142	2898	37643
143	2919	37628
144	2937	37585
145	2960	37590
146	2981	37583
147	3002	37569
148	3023	37562
149	3042	37518
150	3062	37502
151	3082	37479
152	3105	37485
153	3127	37485
154	3147	37467
155	3164	37410
156	3184	37380
157	3205	37374
158	3226	37363
159	3245	37322
160	3263	37277
161	3282	37242
162	3304	37238
163	3322	37194
164	3345	37203
165	3364	37175
166	3383	37142
167	3404	37121
168	3426	37122
169	3447	37109
170	3465	37068
171	3485	37045
172	3504	37014
173	3521	36959
174	3541	36931
175	3560	36900
176	3580	36879
177	3600	36851
178	3621	36839
179	3639	36804
180	3660	36790
181	3678	36749
182	3701	36754
183	3721	36726
184	3753	36822
185	3774	36808
186	3798	36824
187	3819	36814
188	3839	36794
189	3860	36780
190	3879	36746
191	3900	36726
192	3919	36692
193	3939	36670
194	3957	36629
195	3978	36618
196	3997	36588
197	4018	36575
198	4037	36536
199	4056	36511
200	4075	36474
201	4097	36467
202	4115	36431
203	4138	36432
204	4158	36410
205	4178	36387
206	4197	36359
207	4217	36336
208	4236	36302
209	4256	36282
210	4276	36255
211	4296	36238
212	4315	36202
213	4337	36196
214	4356	36168
215	4376	36147
216	4395	36111
217	4417	36107
218	4438	36095
219	4459	36082
220	4479	36060
221	4501	36048
222	4520	36020
223	4540	35998
224	4562	35989
225	4580	35958
226	4604	35962
227	4625	35952
228	4646	35936
229	4669	35938
230	4689	35915
231	4710	35896
232	4729	35865
233	4749	35844
234	4768	35816
235	4789	35802
236	4809	35773
237	4830	35762
238	4848	35727
239	4870	35718
240	4888	35683
241	4907	35652
242	4926	35620
243	4947	35603
244	4966	35574
245	4990	35581
246	5010	35557
247	5030	35536
248	5051	35522
249	5072	35504
250	5091	35480
251	5110	35449
252	5133	35446
253	5153	35425
254	5175	35415
255	5196	35400
256	5217	35387
257	5239	35375
258	5257	35341
259	5277	35317
260	5297	35298
261	5317	35277
262	5337	35250
263	5360	35247
264	5380	35226
265	5401	35210
266	5423	35203
267	5443	35182
268	5466	35174
269	5489	35174
270	5509	35149
271	5530	35133
272	5549	35108
273	5572	35101
274	5589	35064
275	5611	35049
