iter	MultiClass
0	0.9727976678
1	0.8726741435
2	0.7903084913
3	0.7212286147
4	0.661888731
5	0.6104827622
6	0.5659388273
7	0.5264062614
8	0.4915905807
9	0.4602019081
10	0.4323266437
11	0.407447673
12	0.3854424326
13	0.3650281497
14	0.346806309
15	0.3302456554
16	0.3150973407
17	0.3015751998
18	0.2890662122
19	0.2776192782
20	0.2672517352
21	0.2578250861
22	0.2486493488
23	0.2404011768
24	0.232834039
25	0.2259525701
26	0.2194982298
27	0.2133943778
28	0.2080029706
29	0.2029082462
30	0.1985749515
31	0.1942496235
32	0.1903803312
33	0.1868669737
34	0.1834958346
35	0.1800523346
36	0.1769433386
37	0.1743374348
38	0.1716305675
39	0.1694241877
40	0.1671509103
41	0.1651511259
42	0.1628384544
43	0.1608755777
44	0.1590140874
45	0.1571577391
46	0.1556504753
47	0.1541023625
48	0.1524951331
49	0.1508943482
50	0.1497218252
51	0.1487455796
52	0.1472361168
53	0.1460493347
54	0.1449407321
55	0.1437655873
56	0.1427148496
57	0.141919151
58	0.1410297368
59	0.1403914373
60	0.1396012867
61	0.1388164811
62	0.1381843386
63	0.1373009882
64	0.1366276078
65	0.1355941739
66	0.1349318218
67	0.1344486043
68	0.1337412085
69	0.1330340496
70	0.1324950222
71	0.1318147914
72	0.1314614275
73	0.1308584459
74	0.130502511
75	0.1300155808
76	0.1293858232
77	0.1289867645
78	0.1284659795
79	0.1281514348
80	0.1276711351
81	0.1274064801
82	0.1269397459
83	0.1264763523
84	0.1260503909
85	0.1255938647
86	0.1252599696
87	0.1249805312
88	0.1247354127
89	0.1243290215
90	0.124003127
91	0.1237055393
92	0.1234538494
93	0.1231235318
94	0.1228716051
95	0.1226051149
96	0.1222188774
97	0.1219269307
98	0.1216835544
99	0.1214292596
100	0.1210587613
101	0.1208008552
102	0.1205644985
103	0.120230984
104	0.1199137414
105	0.1196186147
106	0.1194034943
107	0.1192158094
108	0.1190498091
109	0.1188921054
110	0.1187237963
111	0.118544315
112	0.1183843701
113	0.118194148
114	0.1180397681
115	0.1177653957
116	0.1176513656
117	0.1173782279
118	0.1172265374
119	0.1170462358
120	0.1168663232
121	0.1166279113
122	0.1165008738
123	0.1162548334
124	0.116029023
125	0.1158910164
126	0.1157011157
127	0.1156032391
128	0.1154314032
129	0.115305812
130	0.1151273202
131	0.1150108883
132	0.1148447104
133	0.1147455229
134	0.1146098844
135	0.1144710575
136	0.1142910518
137	0.1141420423
138	0.1139792473
139	0.1137584774
140	0.1135927054
141	0.1134311198
142	0.1132737798
143	0.113127595
144	0.1130382265
145	0.1128863161
146	0.1127814622
147	0.1126654447
148	0.1125156824
149	0.1123068542
150	0.1121672915
151	0.1120338857
152	0.111932474
153	0.1118382679
154	0.1117267581
155	0.1116451111
156	0.1114675581
157	0.111298251
158	0.1111802037
159	0.1110877736
160	0.1109744455
161	0.1108326923
162	0.1107336909
163	0.1106072455
164	0.1104936129
165	0.1103880148
166	0.1102721749
167	0.1101593373
168	0.1100414422
169	0.109884339
170	0.1097747998
171	0.1096986839
172	0.1096083005
173	0.109513274
174	0.1094220111
175	0.1092698723
176	0.109188682
177	0.109101301
178	0.1089933771
179	0.108889758
180	0.1087402918
181	0.1085974814
182	0.1085133226
183	0.1084214507
184	0.1083468572
185	0.1081966974
186	0.108044694
187	0.1079456926
188	0.1078315356
189	0.1077444421
190	0.1076668462
191	0.1075494248
192	0.1074714144
193	0.1073969308
194	0.1073093975
195	0.1072141342
196	0.1071135513
197	0.1070347629
198	0.1069443119
199	0.1068240995
200	0.1067186705
201	0.1066512318
202	0.1065540487
203	0.1064552841
204	0.1063893255
205	0.1062883704
206	0.1062167285
207	0.106166492
208	0.106073453
209	0.10600697
210	0.1058960015
211	0.1058400563
212	0.1057510261
213	0.105583495
214	0.1055263658
215	0.1054301468
216	0.1053784726
217	0.1053104503
218	0.1051916842
219	0.1051243977
220	0.1050250919
221	0.1049083724
222	0.1048666017
223	0.104819672
224	0.1047236645
225	0.1046212463
226	0.1045301525
227	0.1044787066
228	0.1044111241
229	0.1043372494
230	0.1042287251
231	0.1041370393
232	0.1040534809
233	0.1040158966
234	0.1038997776
235	0.1038231204
236	0.1037678433
237	0.1036464808
238	0.1035906794
239	0.1035333895
240	0.1034511674
241	0.1034076883
242	0.1033723367
243	0.1033095242
244	0.1032565644
245	0.1031706972
246	0.1031244019
247	0.1030810919
248	0.1029848222
249	0.1028841293
250	0.1028503677
