iter	MultiClass
0	0.9727975325
1	0.8726741435
2	0.790308356
3	0.7212290207
4	0.661888731
5	0.6104823562
6	0.5659389965
7	0.5264063291
8	0.491590513
9	0.4602019757
10	0.4323268467
11	0.4074475715
12	0.3854424326
13	0.3650279467
14	0.3468063428
15	0.3302455539
16	0.3150973746
17	0.301575166
18	0.2890660769
19	0.2776193458
20	0.2672516675
21	0.2578250523
22	0.248649315
23	0.2404012106
24	0.2328341067
25	0.2259526209
26	0.2194982129
27	0.2133944117
28	0.208002886
29	0.202908297
30	0.198575036
31	0.1942496235
32	0.1903803481
33	0.186866906
34	0.18349575
35	0.1800523853
36	0.1769433217
37	0.1743374179
38	0.1716306352
39	0.1694241707
40	0.1671509949
41	0.1651511767
42	0.1628384206
43	0.1608754931
44	0.1590140367
45	0.1571577391
46	0.1556505937
47	0.1541023964
48	0.1524950655
49	0.1508942637
50	0.1497218928
51	0.1487455458
52	0.1472361676
53	0.1460493178
54	0.144940749
55	0.1437655196
56	0.1427149004
57	0.1419191679
58	0.1410297029
59	0.1403914458
60	0.1396012951
61	0.1388164557
62	0.1381842794
63	0.1373009798
64	0.1366276078
65	0.1355940893
66	0.1349318387
67	0.1344486635
68	0.133741217
69	0.1330340496
70	0.1324950222
71	0.1318148167
72	0.1314614445
73	0.1308584628
74	0.1305025195
75	0.1300155892
76	0.1293858232
77	0.1289867814
78	0.128465988
79	0.1281514179
80	0.1276711266
81	0.1274064632
82	0.1269397459
83	0.1264763523
84	0.1260503993
85	0.1255938647
86	0.1252599865
87	0.1249805228
88	0.1247354381
89	0.124329013
90	0.124003127
91	0.1237055731
92	0.1234538578
93	0.1231235402
94	0.1228716304
95	0.1226050895
96	0.1222188774
97	0.1219269307
98	0.1216835374
99	0.1214292512
100	0.1210587782
101	0.1208008299
102	0.12056449
103	0.1202310094
104	0.1199137837
105	0.1196186232
106	0.119403452
107	0.1192158517
108	0.1190497583
109	0.1188920716
110	0.1187237878
111	0.1185442811
112	0.1183843363
113	0.1181941649
114	0.1180397765
115	0.1177653618
116	0.1176514079
117	0.1173782195
118	0.1172264951
119	0.1170461935
120	0.116866264
121	0.1166279705
122	0.1165008823
123	0.1162549011
124	0.1160289976
125	0.1158910164
126	0.1157011326
127	0.1156032306
128	0.1154314286
129	0.1153058036
130	0.1151273372
131	0.1150109052
132	0.1148447019
133	0.1147455398
134	0.1146098844
135	0.1144710321
136	0.1142910772
137	0.1141420761
138	0.1139792896
139	0.1137584435
140	0.1135926631
141	0.1134311367
142	0.1132737798
143	0.1131275443
144	0.1130382519
145	0.1128862569
146	0.1127814537
147	0.1126654785
148	0.1125156317
149	0.1123068542
150	0.112167283
151	0.1120339449
152	0.1119324317
153	0.1118382256
154	0.1117268173
155	0.1116451788
156	0.1114675496
157	0.1112982933
158	0.1111802037
159	0.1110877313
160	0.1109744793
161	0.1108326839
162	0.1107337247
163	0.1106072286
164	0.1104936637
165	0.1103879725
166	0.1102722087
167	0.1101593627
168	0.1100413999
169	0.1098842967
170	0.109774859
171	0.1096986754
172	0.1096083174
173	0.109513274
174	0.1094219603
175	0.1092699146
176	0.1091886736
177	0.1091013094
178	0.1089933094
179	0.1088898933
180	0.1087403594
181	0.108597473
182	0.1085133395
183	0.1084214507
184	0.1083468656
185	0.1081966805
186	0.1080446517
187	0.107945701
188	0.107831561
189	0.1077444083
190	0.1076668208
191	0.1075494248
192	0.1074714905
193	0.1073969562
194	0.1073094313
195	0.1072141512
196	0.1071135429
197	0.1070347883
198	0.1069443119
199	0.1068240826
200	0.1067186621
201	0.1066512318
202	0.106553998
203	0.1064553095
204	0.106389317
205	0.1062883366
206	0.1062168384
207	0.106166492
208	0.1060734614
209	0.1060070038
210	0.1058960268
211	0.1058400817
212	0.1057510514
213	0.1055834611
214	0.1055263658
215	0.105430113
216	0.1053784726
217	0.1053105095
218	0.1051916757
219	0.1051243385
220	0.1050250919
221	0.1049083977
222	0.1048666355
223	0.104819672
224	0.1047235968
225	0.1046211786
226	0.1045301525
227	0.1044787235
228	0.1044110988
229	0.1043372917
230	0.1042287082
231	0.1041370646
232	0.1040535148
233	0.1040158797
234	0.1038997691
235	0.1038231119
236	0.1037678687
237	0.1036465823
238	0.1035906794
239	0.103533474
240	0.1034511928
241	0.1034077306
242	0.1033723029
